filename,d1_ratio,d2_ratio,d3_d5_ratio,high_freq_energy,peak_count,fft_0_25_ratio,fft_125_200_ratio,strike_count,offset_x_y,offset_y_z,max_x,max_y,max_z,classification
chain_far_new_sd_c53.csv,0.4781769376095468,0.2885733394253158,0.23324972296513735,0.7667502770348626,28,0.12347649641291976,0.2636850358539436,572,16993.35135135135,-2941.3163163163163,25572,21548,19456,⚠️ Vibration Detected (ambiguous)
non_event_far_new_sd_v6.csv,0.5146324257229038,0.25242244038564604,0.23294513389145005,0.7670548661085499,77,0.15164802758326207,0.251615398902373,678,17540.966966966967,-1031.971971971972,17288,616,860,🌬️ Likely Non-Event
mac_far_new_sd_b28.csv,0.3040731452331045,0.179439084718747,0.5164877700481485,0.4835122299518515,12,0.30667458778259843,0.21387610390882866,75,15480.348348348349,-677.2332332332332,32767,32767,32768,🟡 Possibly Machete
mac_far_new_sd_b21.csv,0.507795659000523,0.15043853034904914,0.3417658106504278,0.6582341893495722,13,0.24871486048446656,0.22539179137878054,101,15470.412662662662,-649.9079079079079,32767,26772,32436,🟡 Possibly Machete
chain_far_new_sd_c39.csv,0.6972683757038219,0.17584693265428167,0.1268846916418964,0.8731153083581036,60,0.15387401693454114,0.3296153182618493,564,16867.375875875878,-2735.6771771771773,32767,32504,32767,🔧 Likely Chainsaw
non_event_far_new_sd_v10.csv,0.5081273547205393,0.2540680520253402,0.23780459325412054,0.7621954067458795,75,0.15550475344791806,0.2522323817611401,682,17549.09009009009,-1025.1041041041042,17280,640,836,🌬️ Likely Non-Event
chain_far_new_sd_c40.csv,0.5640301276251284,0.2670690042633311,0.16890086811154065,0.8310991318884595,38,0.1460736331417747,0.25527524564686865,522,17020.68768768769,-2954.3963963963965,23796,20572,20524,🔧 Likely Chainsaw
chain_far_new_sd_c54.csv,0.5405295186188714,0.25964014448141765,0.19983033689971094,0.800169663100289,56,0.1096545273914098,0.28005424729951983,603,16925.17917917918,-3016.2802802802803,25304,20132,21756,🔧 Likely Chainsaw
non_event_far_new_sd_v13.csv,0.49840591313745314,0.27718761477222276,0.22440647209032405,0.775593527909676,79,0.15104595526821135,0.2376001801111437,696,17553.232232232232,-1023.2632632632633,17284,656,832,🌬️ Likely Non-Event
chain_far_new_sd_c33.csv,0.5440552418076282,0.24252611310455444,0.21341864508781733,0.7865813549121826,80,0.14628222085660242,0.24215874173677732,688,16926.984984984985,-2981.1441441441443,17240,1540,3896,🔧 Likely Chainsaw
mac_far_new_sd_b14.csv,0.41847318396836825,0.2415867325698984,0.3399400834617334,0.6600599165382667,12,0.21545128508757908,0.21423035878370492,95,15409.233983983984,-611.1478978978979,32767,32768,31704,⚠️ Vibration Detected (ambiguous)
chain_far_new_sd_c34.csv,0.5293547925204317,0.25106356698864246,0.2195816404909259,0.7804183595090741,62,0.14368193805905435,0.2638389819916287,679,16930.762762762763,-2982.6146146146148,17108,288,3236,🔧 Likely Chainsaw
mac_far_new_sd_b16.csv,0.35494365954776,0.1604039505648691,0.48465238988737086,0.5153476101126291,12,0.257283915645748,0.1768469336914169,104,15451.269019019019,-604.6824324324324,32767,32768,32768,🟡 Possibly Machete
chain_far_new_sd_c32.csv,0.0950608191413032,0.14597108455365757,0.7589680963050393,0.24103190369496075,23,0.4528190733789694,0.1158614638216706,73,17861.65765765766,-4695.653153153153,32768,32768,32768,⚠️ Unclassified
