filename,d1_ratio,d2_ratio,d3_d5_ratio,high_freq_energy,peak_count,fft_0_25_ratio,fft_125_200_ratio,strike_count,offset_x_y,offset_y_z,max_x,max_y,max_z
non_event_med_sd_u20.csv,0.5428571031516853,0.2478588774205752,0.20928401942773944,0.7907159805722606,72,0.14200875951760192,0.25604990249244197,679,16126.625625625626,-327.3693693693694,17168,1060,1440
non_event_med_sd_u21.csv,0.5253681206544784,0.25712150272416695,0.2175103766213547,0.7824896233786454,71,0.14672137254046536,0.2586717680945072,689,16124.075075075076,-328.67667667667666,17176,1072,1508
non_event_med_sd_u22.csv,0.5045743570436729,0.2684317011675995,0.22699394178872745,0.7730060582112724,70,0.14715730099471544,0.24182087916411807,678,16121.652652652652,-330.2182182182182,17160,1044,1488
non_event_med_sd_u23.csv,0.5024025754953887,0.2594852659110897,0.2381121585935216,0.7618878414064785,80,0.15733974596355083,0.2410981001567777,655,16122.651651651651,-331.73373373373374,17168,1072,1484
non_event_med_sd_u24.csv,0.517105997209199,0.2751577413812956,0.20773626140950546,0.7922637385904947,79,0.14752171612637796,0.25048494967417834,668,16122.222222222223,-330.7067067067067,17152,1048,1452
non_event_med_sd_u25.csv,0.5102324861418851,0.2509784810175979,0.23878903284051708,0.761210967159483,75,0.15431628604571343,0.24954153046789096,664,16122.74974974975,-331.6996996996997,17168,1028,1536
non_event_short_i2.csv,0.4926142378829242,0.24848855716360338,0.2588972049534724,0.7411027950465275,79,0.16748751177683222,0.24220570330393232,682,16993.256256256256,-642.4394394394394,17176,212,892
non_event_short_i3.csv,0.4771002456049922,0.28057370323986247,0.2423260511551453,0.7576739488448547,81,0.15006050673018154,0.22962265117288327,670,16996.213213213214,-642.3923923923924,17172,212,920
non_event_short_i4.csv,0.4887531268535304,0.271144822903891,0.2401020502425785,0.7598979497574214,78,0.1580282209523051,0.23882706310359642,661,16997.174174174175,-634.0430430430431,17168,208,916
non_event_short_i5.csv,0.4791202400862726,0.26566666843204484,0.25521309148168264,0.7447869085183174,56,0.15898362301004776,0.24119195029732265,666,17000.096096096095,-626.4334334334334,17176,188,940
non_event_short_i6.csv,0.494687980945003,0.25178129460431253,0.25353072445068436,0.7464692755493155,56,0.1546729206500599,0.24336611331209962,653,17003.068068068067,-623.9799799799799,17196,224,944
non_event_short_i7.csv,0.49886354147527523,0.27040632751844196,0.23073013100628278,0.7692698689937172,87,0.1517402504319105,0.24131449370852723,666,17011.253253253253,-622.6786786786787,17188,204,860
non_event_short_i8.csv,0.495942993541752,0.2625699614781147,0.2414870449801333,0.7585129550198666,85,0.15782118291046102,0.2433030420325324,674,17011.534534534534,-616.6946946946947,17196,244,904
non_event_short_i9.csv,0.481269576009342,0.28474993113794966,0.23398049285270825,0.7660195071472917,78,0.15196623189960395,0.24249159974603451,671,17012.935935935937,-611.6876876876877,17184,192,852
non_event_short_i10.csv,0.5069495530475582,0.2595203300116115,0.23353011694083037,0.7664698830591696,71,0.15168115449493966,0.24717542183115607,680,17018.359359359358,-611.4794794794794,17208,212,832
non_event_short_i11.csv,0.4864026183968472,0.24866539213609032,0.26493198946706253,0.7350680105329375,72,0.16572511618403976,0.24490114794632872,649,17022.359359359358,-610.1101101101101,17192,208,840
non_event_short_i12.csv,0.501324029660505,0.2620758763553055,0.23660009398418952,0.7633999060158105,83,0.1515807643092556,0.25172384199203895,667,17025.996996996997,-604.5385385385385,17200,244,860
non_event_short_i13.csv,0.4866215040219882,0.2762021796150809,0.23717631636293082,0.7628236836370692,72,0.1511167720611285,0.24669533040272296,678,17031.076076076075,-604.1501501501501,17180,224,868
non_event_short_i14.csv,0.49405461603549916,0.26798430442498383,0.23796107953951695,0.7620389204604829,78,0.15580077167537656,0.24368878496226562,654,17034.534534534534,-602.941941941942,17176,260,884
non_event_short_i15.csv,0.4847339566309415,0.2631328488818048,0.2521331944872537,0.7478668055127463,68,0.1584723656967142,0.2459821762996531,653,17035.073073073072,-600.0750750750751,17192,252,824
